customer_id ; customer_first_name ; customer_second_name ; customer_mail ; customer_phone1 ; customer_phone2 ; customer_city ; customer_country ; customer_orderdate ; customer_orderamount ; customer_orderstatus 
1; Fox ; Hyde ; pretium.et@condimentum.net ; 673-35-716-25-87 ; 090-58-956-22-86 ; Chicago ; San Marino ; 28.10.21 ; $2578.12 ; ordered 
2; Higgins ; Ford ; vulputate@ipsumacmi.net ; 670-83-801-42-63 ; 970-86-278-02-54 ; Panchi� ; Belarus ; 12.12.19 ; $3364.24 ; ordered 
3; Calderon ; Sampson ; mauris.aliquam.eu@sed.co.uk ; 215-47-118-24-22 ; 117-89-157-91-58 ; Walhain-Saint-Paul ; Saint Helena, Ascension and Tristan da Cunha ; 20.11.20 ; $7730.96 ; payed 
4; Park ; Haley ; vitae.posuere@faucibusut.org ; 372-48-223-29-78 ; 874-47-373-05-34 ; Flushing ; Mexico ; 31.05.21 ; $8211.16 ; shipped 
5; Good ; Welch ; sed@suscipitest.com ; 849-27-819-47-95 ; 593-57-367-76-31 ; Chepstow ; Russian Federation ; 20.07.21 ; $1352.52 ; ordered 
6; Kerr ; Franks ; Nulla@ligulaDonec.org ; 381-30-474-79-88 ; 285-98-456-47-00 ; R�dermark ; Bermuda ; 22.08.20 ; $2686.13 ; payed 
7; Stuart ; Bowen ; in.felis.Nulla@egetipsum.ca ; 804-72-898-75-50 ; 327-67-329-85-99 ; Berlin ; Monaco ; 02.04.20 ; $6881.88 ; payed 
8; Franks ; Gordon ; vestibulum.nec@tempordiamdictum.org ; 552-79-858-27-25 ; 225-31-202-78-72 ; Charters Towers ; Cyprus ; 05.12.19 ; $6334.79 ; completed 
9; Aguirre ; Vance ; Phasellus.dolor.elit@lectus.co.uk ; 198-26-118-14-94 ; 134-47-416-13-86 ; Zittau ; Philippines ; 04.03.21 ; $6937.84 ; completed 
10; Herrera ; Summers ; est.Mauris@hendrerit.com ; 523-11-150-76-85 ; 464-50-428-77-55 ; Milestone ; Puerto Rico ; 27.11.19 ; $8873.97 ; payed 
11; Booker ; Dunn ; Vivamus.nibh.dolor@musAeneaneget.com ; 538-42-817-82-65 ; 904-72-149-26-31 ; L?vis ; Portugal ; 01.09.21 ; $2578.35 ; shipped 
12; Obrien ; Day ; ligula.elit.pretium@Nullamut.ca ; 928-45-442-95-31 ; 777-60-478-01-17 ; Legal ; Taiwan ; 11.10.20 ; $8353.58 ; shipped 
13; Ellis ; Hutchinson ; sed.facilisis@rutrumjusto.net ; 219-48-108-31-04 ; 736-69-922-16-05 ; Courbevoie ; Saint Vincent and The Grenadines ; 19.05.21 ; $2531.10 ; shipped 
14; Davenport ; Allison ; vestibulum@ProinultricesDuis.ca ; 274-89-558-74-44 ; 930-94-116-20-27 ; Sinaai-Waas ; American Samoa ; 28.10.20 ; $1290.34 ; payed 
